231,371,283,511,1.000000
226,371,278,511,0.847605
223,370,276,512,0.661310
216,372,270,517,0.638630
215,374,269,519,0.556884
214,377,269,525,0.567099
212,376,269,528,0.476017
212,376,269,529,0.525667
211,377,268,531,0.480041
211,378,268,532,0.459349
210,378,267,532,0.440944
210,378,267,532,0.433922
210,378,267,533,0.429518
210,378,267,533,0.420098
210,378,267,533,0.405539
210,378,267,533,0.402941
210,378,267,533,0.425062
210,378,267,533,0.398648
210,378,267,533,0.413628
210,378,267,533,0.404649
210,378,267,533,0.425853
210,378,267,533,0.453039
210,378,267,533,0.444205
210,378,267,533,0.436487
210,378,267,533,0.415627
210,378,267,533,0.401531
210,378,267,533,0.410888
171,426,223,566,0.573854
175,427,227,566,0.594497
180,427,232,566,0.565862
193,429,245,568,0.505688
199,429,251,568,0.499043
205,426,257,566,0.565819
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
251,421,303,561,0.502745
256,423,307,560,0.499948
262,426,313,563,0.471232
263,426,314,563,0.477081
264,426,315,563,0.479341
265,426,316,563,0.502691
265,426,316,563,0.505991
265,426,316,563,0.505552
265,426,316,563,0.506309
266,426,317,562,0.504394
266,426,317,562,0.557920
268,426,319,562,0.570863
268,426,319,562,0.556854
274,425,326,563,0.488703
275,424,328,564,0.449693
275,422,329,565,0.437419
275,420,330,566,0.477472
275,420,330,566,0.460380
275,420,330,566,0.431490
275,420,330,566,0.416385
275,420,330,566,0.415431
336,431,388,571,0.661081
340,431,392,571,0.658102
344,430,397,571,0.682813
348,429,401,571,0.681726
356,428,409,571,0.658107
359,427,412,571,0.709883
359,427,412,572,0.606997
361,426,414,571,0.593137
364,425,417,569,0.596944
368,423,422,568,0.645529
368,423,422,568,0.623300
368,422,422,568,0.589474
369,422,423,567,0.589055
368,423,421,566,0.597740
365,421,418,564,0.589575
362,417,415,559,0.587350
360,415,413,557,0.625776
357,411,410,552,0.608200
355,410,408,551,0.596600
354,409,407,550,0.584567
354,408,407,549,0.574413
354,409,406,548,0.560644
351,405,403,544,0.547778
349,403,401,543,0.562690
346,401,398,541,0.577016
343,398,395,538,0.583341
339,396,391,536,0.615070
336,394,388,534,0.596390
336,390,388,529,0.604977
335,389,387,529,0.637441
336,389,388,529,0.678729
336,388,388,528,0.650523
336,387,388,527,0.653556
336,387,388,527,0.665897
337,386,389,525,0.632263
338,386,390,525,0.650537
339,386,391,525,0.629388
340,384,392,524,0.636368
341,382,393,522,0.649611
341,382,393,522,0.612489
339,379,393,525,0.593594
337,377,392,525,0.568714
335,374,391,524,0.563526
335,374,390,522,0.494222
335,373,389,519,0.500061
334,373,387,517,0.507364
333,370,387,515,0.503622
332,370,386,516,0.515686
332,370,386,517,0.458083
331,369,385,517,0.460729
329,368,383,516,0.485872
301,351,353,491,0.651676
294,349,346,490,0.646666
291,350,343,491,0.570848
281,354,325,475,0.653649
273,352,317,473,0.656247
271,351,316,476,0.692341
266,350,312,477,0.609014
261,350,309,480,0.577554
257,349,306,480,0.626392
252,348,302,483,0.640948
247,348,298,485,0.591673
238,347,290,486,0.585248
222,344,269,471,0.631686
214,340,261,468,0.683849
205,338,253,467,0.623047
202,338,250,466,0.611028
199,338,247,467,0.630934
197,338,245,467,0.672207
186,334,235,465,0.541342
173,335,216,452,0.645245
167,330,212,453,0.642556
156,328,202,454,0.653043
150,329,196,454,0.662926
143,327,190,453,0.659728
132,319,181,450,0.625386
130,318,180,452,0.602127
128,317,178,451,0.588581
127,318,176,450,0.623496
126,317,175,448,0.553118
126,317,175,447,0.512283
125,315,175,446,0.511520
125,314,175,445,0.466908
117,305,160,422,0.641220
115,302,159,420,0.654701
113,298,159,420,0.656949
113,297,158,418,0.632968
112,296,156,416,0.692073
112,296,156,416,0.667434
110,293,154,412,0.619165
108,290,153,412,0.572265
106,288,152,412,0.584722
104,288,149,410,0.589746
98,282,145,407,0.665353
97,280,144,405,0.627906
96,279,142,402,0.591449
95,279,141,401,0.524563
86,276,125,382,0.594822
84,273,125,383,0.627765
82,271,124,383,0.612774
78,268,122,385,0.602016
76,267,120,385,0.567303
66,267,101,362,0.636006
59,260,95,359,0.645790
57,259,93,358,0.627484
57,260,93,359,0.628816
57,259,93,358,0.646819
57,255,93,354,0.651584
57,254,94,354,0.647761
57,254,94,354,0.666077
58,254,95,352,0.602553
58,253,95,352,0.583881
59,252,96,352,0.549630
63,251,100,351,0.555488
66,251,103,350,0.520807
69,251,106,349,0.509319
75,250,110,344,0.467809
76,250,111,344,0.484169
76,250,111,344,0.473975
76,250,111,345,0.456791
88,241,118,322,0.610084
91,236,121,318,0.593991
94,236,124,317,0.599546
96,236,126,316,0.587903
100,235,130,315,0.646797
103,232,134,315,0.645470
106,229,138,314,0.612705
108,226,141,313,0.595960
110,225,143,313,0.578253
112,225,145,314,0.590924
117,222,149,309,0.563872
119,218,151,307,0.605749
119,217,151,306,0.588170
120,217,152,307,0.539360
129,213,162,306,0.544335
133,211,167,306,0.550259
136,209,171,308,0.555472
136,207,172,309,0.449390
136,207,172,309,0.398570
136,207,172,309,0.364878
136,207,172,309,0.340918
136,207,172,309,0.340463
